,Setor,Código,Ação,Tipo,Qtde. Teórica,Part. (%),Part. (%)Acum.,SubSetor,,,,
58,Consumo Cíclico,MRVE3,MRV,ON      NM,298436955,0.123,0.379,Constr Civil,,,,
59,Financeiro,MULT3,MULTIPLAN,ON      N2,268145328,0.3,0.85,Explor Imóveis,,,,
60,Consumo Não-Cíclico,NTCO3,GRUPO NATURA,ON      NM,835961011,0.471,0.471,Pr Pessoal Limp,,,,
61,Consumo Não-Cíclico,PCAR3,P.ACUCAR-CBD,ON      NM,157889627,0.144,1.317,Comércio Distr.,,,,
62,Petróleo,PETR3,PETROBRAS,ON  EDJ N2,2684384823,3.746,13.64,Gás e Biocombustíveis,,,,
63,Petróleo,PETR4,PETROBRAS,PN  EDJ N2,4566441248,5.51,13.64,Gás e Biocombustíveis,,,,
64,Consumo Cíclico,PETZ3,PETZ,ON      NM,335672329,0.12,2.673,Comércio,,,,
65,Comput e Equip,POSI3,POSITIVO TEC,ON      NM,73573028,0.031,0.031,Comput e Equips,,,,
66,Petróleo,PRIO3,PETRORIO,ON      NM,839159130,1.451,13.64,Gás e Biocombustíveis,,,,
67,Saúde,QUAL3,QUALICORP,ON      NM,277039277,0.078,2.883,SM Hosp An.Diag,,,,
68,Saúde,RADL3,RAIADROGASIL,ON      NM,1196069386,1.324,2.201,Comércio Distr.,,,,
69,Bens Indls,RAIL3,RUMO S.A.,ON      NM,1215642613,1.18,2.171,Transporte,,,,
70,Consumo Não-Cíclico,RAIZ4,RAIZEN,PN      N2,1246412032,0.248,0.46,Agropecuária,,,,
71,Saúde,RDOR3,REDE D OR,ON      NM,932048593,1.35,2.883,SM Hosp An.Diag,,,,
72,Diverso,RENT3,LOCALIZA,ON      NM,893978241,2.593,2.958,Diversos,,,,
73,Petróleo,RRRP3,3R PETROLEUM,ON      NM,200453863,0.345,13.64,Gás e Biocombustíveis,,,,
74,Financeiro,SANB11,SANTANDER BR,UNT,355642848,0.484,17.763,Interms Financs,,,,
75,Utilidade Públ,SBSP3,SABESP,ON      NM,340002999,1.014,1.014,Água Saneamento,,,,
76,Consumo Não-Cíclico,SLCE3,SLC AGRICOLA,ON      NM,96272020,0.212,0.46,Agropecuária,,,,
77,Consumo Não-Cíclico,SMTO3,SAO MARTINHO,ON      NM,143294210,0.197,2.319,Alimentos Processados,,,,
78,Consumo Cíclico,SOMA3,GRUPO SOMA,ON      NM,490736222,0.267,2.673,Comércio,,,,
79,Financeiro,SULA11,SUL AMERICA,UNT     N2,284059601,0.303,1.41,Previd  Seguros,,,,
80,Mats Básicos,SUZB3,SUZANO S.A.,ON      NM,726823001,1.978,2.806,Madeira e Papel,,,,
81,Utilidade Públ,TAEE11,TAESA,UNT     N2,218568234,0.39,9.797,Energ Elétrica,,,,
82,Telecomunicaçã,TIMS3,TIM,ON      NM,808436195,0.523,1.341,Telecomunicação,,,,
83,Tec.Informação,TOTS3,TOTVS,ON      NM,519851955,0.744,0.936,Programas Servs,,,,
84,Petróleo,UGPA3,ULTRAPAR,ON      NM,1087887681,0.718,13.64,Gás e Biocombustíveis,,,,
85,Mats Básicos,USIM5,USIMINAS,PNA     N1,515014562,0.186,2.627,Sid Metalurgia,,,,
86,Mats Básicos,VALE3,VALE,ON      NM,4547296398,18.313,18.842,Mineração,,,,
87,Petróleo,VBBR3,VIBRA,ON      NM,1114442976,0.885,13.64,Gás e Biocombustíveis,,,,
88,Consumo Cíclico,VIIA3,VIA,ON      NM,1576975642,0.163,2.673,Comércio,,,,
89,Telecomunicaçã,VIVT3,TELEF BRASIL,ON,429455552,0.818,1.341,Telecomunicação,,,,
90,Bens Indls,WEGE3,WEG,ON      NM,1481593024,2.752,2.752,Máqs e Equips,,,,
91,Diverso,YDUQ3,YDUQS PART,ON      NM,296015511,0.167,2.958,Diversos,,,,
